Type,Size,Density,Iterations,Seed,STD,Time
dense,10,0.1,100,0,2.80867e-16,0
sparse,10,0.1,100,0,2.80867e-16,0
dense,10,0.1,100,1,0,0
sparse,10,0.1,100,1,0,0
dense,10,0.1,100,2,0,0
sparse,10,0.1,100,2,0,0
dense,10,0.1,100,3,0,0
sparse,10,0.1,100,3,0,0
dense,10,0.1,100,4,0,0
sparse,10,0.1,100,4,0,0
dense,10,0.1,100,5,2.24693e-15,0
sparse,10,0.1,100,5,2.24693e-15,0
dense,10,0.1,100,6,0,0
sparse,10,0.1,100,6,0,0
dense,10,0.1,100,7,0,0
sparse,10,0.1,100,7,0,0
dense,10,0.1,100,8,7.02167e-17,0
sparse,10,0.1,100,8,7.02167e-17,0
dense,10,0.1,100,9,0,0
sparse,10,0.1,100,9,0,0
dense,20,0.1,100,0,1.50142e-15,0
sparse,20,0.1,100,0,1.50142e-15,0
dense,20,0.1,100,1,7.94411e-16,0
sparse,20,0.1,100,1,7.94411e-16,0
dense,20,0.1,100,2,4.57703e-15,0
sparse,20,0.1,100,2,4.57703e-15,0
dense,20,0.1,100,3,3.18651e-15,0
sparse,20,0.1,100,3,3.18651e-15,0
dense,20,0.1,100,4,2.54581e-15,0
sparse,20,0.1,100,4,2.54581e-15,0
dense,20,0.1,100,5,1.77862e-15,0
sparse,20,0.1,100,5,1.77862e-15,0
dense,20,0.1,100,6,6.82697e-17,0
sparse,20,0.1,100,6,6.82697e-17,0
dense,20,0.1,100,7,3.88596e-15,0
sparse,20,0.1,100,7,3.88596e-15,0
dense,20,0.1,100,8,4.92003e-15,0
sparse,20,0.1,100,8,4.92003e-15,0
dense,20,0.1,100,9,1.22113e-15,0
sparse,20,0.1,100,9,1.22113e-15,0
dense,40,0.1,100,0,6.72482e-15,0
sparse,40,0.1,100,0,6.72482e-15,0
dense,40,0.1,100,1,7.46993e-15,0
sparse,40,0.1,100,1,7.46993e-15,0
dense,40,0.1,100,2,6.75514e-15,0
sparse,40,0.1,100,2,6.75514e-15,0
dense,40,0.1,100,3,1.03381e-14,0
sparse,40,0.1,100,3,1.03381e-14,0
dense,40,0.1,100,4,7.58461e-15,0
sparse,40,0.1,100,4,7.58461e-15,0
dense,40,0.1,100,5,5.56378e-15,1
sparse,40,0.1,100,5,5.56378e-15,0
dense,40,0.1,100,6,4.85992e-15,0
sparse,40,0.1,100,6,4.85992e-15,0
dense,40,0.1,100,7,9.48752e-15,0
sparse,40,0.1,100,7,9.48752e-15,0
dense,40,0.1,100,8,5.57515e-15,0
sparse,40,0.1,100,8,5.57515e-15,1
dense,40,0.1,100,9,8.69645e-15,0
sparse,40,0.1,100,9,8.69645e-15,0
dense,80,0.1,100,0,1.28423e-14,1
sparse,80,0.1,100,0,1.28423e-14,0
dense,80,0.1,100,1,1.12718e-14,0
sparse,80,0.1,100,1,1.12718e-14,1
dense,80,0.1,100,2,1.17502e-14,1
sparse,80,0.1,100,2,1.17502e-14,0
dense,80,0.1,100,3,1.19898e-14,1
sparse,80,0.1,100,3,1.19898e-14,0
dense,80,0.1,100,4,1.5772e-14,1
sparse,80,0.1,100,4,1.5772e-14,0
dense,80,0.1,100,5,1.29723e-14,1
sparse,80,0.1,100,5,1.29723e-14,0
dense,80,0.1,100,6,1.31199e-14,1
sparse,80,0.1,100,6,1.31199e-14,0
dense,80,0.1,100,7,1.46522e-14,1
sparse,80,0.1,100,7,1.46522e-14,0
dense,80,0.1,100,8,1.2392e-14,1
sparse,80,0.1,100,8,1.2392e-14,0
dense,80,0.1,100,9,1.18547e-14,1
sparse,80,0.1,100,9,1.18547e-14,0
dense,160,0.1,100,0,1.5623e-14,3
sparse,160,0.1,100,0,1.5623e-14,1
dense,160,0.1,100,1,1.71903e-14,3
sparse,160,0.1,100,1,1.71903e-14,0
dense,160,0.1,100,2,1.50629e-14,3
sparse,160,0.1,100,2,1.50629e-14,1
dense,160,0.1,100,3,1.37939e-14,3
sparse,160,0.1,100,3,1.37939e-14,0
dense,160,0.1,100,4,1.5033e-14,2
sparse,160,0.1,100,4,1.5033e-14,0
dense,160,0.1,100,5,1.81052e-14,2
sparse,160,0.1,100,5,1.81052e-14,1
dense,160,0.1,100,6,1.60195e-14,3
sparse,160,0.1,100,6,1.60195e-14,0
dense,160,0.1,100,7,1.58329e-14,3
sparse,160,0.1,100,7,1.58329e-14,0
dense,160,0.1,100,8,1.54261e-14,3
